id,Potencia,Radiacion,Temperatura,Temperatura panel
470,8.0,-4.0,16.0,16.0
471,8.0,-5.0,16.0,15.0
472,8.0,-5.0,16.0,15.0
473,8.0,-5.0,15.0,15.0
474,8.0,-5.0,15.0,14.0
475,8.0,-5.0,15.0,14.0
476,8.0,-5.0,14.0,14.0
477,8.0,-5.0,14.0,13.0
478,8.0,-5.0,13.0,13.0
479,8.0,-5.0,12.0,12.0
480,8.0,-5.0,12.0,11.0
481,8.0,-4.0,12.0,11.0
482,8.0,-3.0,11.0,10.0
483,8.0,-3.0,11.0,10.0
484,8.0,-3.0,10.0,10.0
485,8.0,-4.0,10.0,9.0
486,8.0,-3.0,10.0,9.0
487,8.0,-3.0,10.0,9.0
488,8.0,-3.0,10.0,9.0
489,8.0,-4.0,10.0,9.0
490,8.0,-4.0,10.0,9.0
491,8.0,-4.0,10.0,9.0
492,8.0,-4.0,10.0,9.0
493,8.0,-4.0,10.0,10.0
494,8.0,-4.0,10.0,10.0
495,9.0,-4.0,10.0,9.0
496,8.0,-3.0,10.0,9.0
497,9.0,-3.0,10.0,9.0
498,8.0,-5.0,9.0,8.0
499,8.0,-5.0,8.0,8.0
500,9.0,-5.0,8.0,7.0
501,8.0,-4.0,8.0,7.0
502,8.0,-3.0,9.0,8.0
503,8.0,-3.0,9.0,9.0
504,8.0,-4.0,9.0,9.0
505,8.0,-4.0,9.0,9.0
506,8.0,-4.0,9.0,9.0
507,-0.0,-2.0,8.0,8.0
508,-52.0,10.0,8.0,8.0
509,-126.0,30.0,8.0,8.0
510,-287.0,67.0,9.0,8.0
511,-551.0,133.0,10.0,10.0
512,-861.0,222.0,12.0,11.0
513,-1159.0,327.0,13.0,13.0
514,-1384.0,411.0,15.0,15.0
515,-1626.0,484.0,16.0,17.0
516,-1744.0,572.0,18.0,21.0
517,-1837.0,608.0,19.0,24.0
518,-2061.0,658.0,19.0,24.0
519,-2183.0,708.0,21.0,25.0
520,-2304.0,740.0,22.0,26.0
521,-2500.0,778.0,23.0,27.0
522,-2715.0,835.0,24.0,29.0
523,-2959.0,904.0,25.0,30.0
524,-2990.0,959.0,26.0,32.0
525,-3026.0,977.0,26.0,32.0
526,-3024.0,992.0,26.0,31.0
527,-3033.0,994.0,27.0,33.0
528,-3023.0,999.0,28.0,34.0
529,-3037.0,1008.0,29.0,35.0
530,-3038.0,1014.0,29.0,36.0
531,-3040.0,1029.0,29.0,34.0
532,-3044.0,1036.0,27.0,36.0
533,-3047.0,1036.0,28.0,36.0
534,-3037.0,1034.0,29.0,36.0
535,-3050.0,1032.0,28.0,37.0
536,-3037.0,1036.0,28.0,35.0
537,-3025.0,1032.0,31.0,38.0
538,-3018.0,1025.0,29.0,38.0
539,-3030.0,1035.0,27.0,36.0
540,-3018.0,1046.0,33.0,42.0
541,-3011.0,1023.0,28.0,42.0
542,-3016.0,1022.0,32.0,39.0
543,-3004.0,1015.0,34.0,44.0
544,-2926.0,987.0,30.0,42.0
545,-2915.0,989.0,29.0,40.0
546,-2967.0,977.0,32.0,40.0
547,-2962.0,978.0,31.0,41.0
548,-2868.0,968.0,31.0,38.0
549,-2857.0,933.0,34.0,42.0
550,-2677.0,894.0,34.0,45.0
551,-2688.0,884.0,32.0,44.0
552,-2643.0,869.0,32.0,43.0
553,-2414.0,823.0,33.0,42.0
554,-2345.0,766.0,33.0,41.0
555,-2172.0,718.0,31.0,41.0
556,-1941.0,666.0,31.0,38.0
557,-1688.0,600.0,30.0,35.0
558,-1431.0,502.0,29.0,34.0
559,-1267.0,442.0,28.0,32.0
560,-815.0,347.0,27.0,31.0
561,-494.0,234.0,25.0,28.0
562,-193.0,144.0,23.0,25.0
563,-94.0,55.0,21.0,22.0
564,-27.0,22.0,20.0,20.0
565,7.0,2.0,19.0,19.0
566,7.0,-5.0,18.0,17.0
567,7.0,-6.0,17.0,16.0
568,8.0,-6.0,17.0,16.0
569,8.0,-6.0,16.0,15.0
570,8.0,-6.0,16.0,14.0
571,8.0,-6.0,15.0,14.0
572,8.0,-6.0,14.0,13.0
573,8.0,-5.0,13.0,12.0
574,8.0,-5.0,13.0,12.0
575,8.0,-5.0,12.0,11.0
576,8.0,-5.0,12.0,11.0
577,8.0,-4.0,12.0,11.0
578,8.0,-3.0,11.0,10.0
579,8.0,-4.0,11.0,10.0
580,8.0,-5.0,11.0,10.0
581,8.0,-5.0,11.0,9.0
582,8.0,-5.0,11.0,9.0
583,8.0,-5.0,10.0,9.0
584,8.0,-5.0,10.0,9.0
585,8.0,-4.0,9.0,8.0
586,8.0,-3.0,9.0,8.0
587,8.0,-3.0,9.0,8.0
588,8.0,-2.0,9.0,8.0
589,8.0,-2.0,9.0,8.0
590,8.0,-3.0,9.0,8.0
591,8.0,-3.0,9.0,8.0
592,8.0,-3.0,9.0,8.0
593,8.0,-3.0,9.0,8.0
594,8.0,-4.0,9.0,8.0
595,8.0,-3.0,8.0,8.0
596,8.0,-3.0,8.0,7.0
597,8.0,-3.0,8.0,7.0
598,8.0,-2.0,8.0,7.0
599,8.0,-3.0,8.0,7.0
600,8.0,-3.0,8.0,7.0
601,8.0,-2.0,8.0,7.0
602,8.0,-1.0,8.0,8.0
603,1.0,0.0,9.0,8.0
604,-42.0,8.0,9.0,8.0
605,-108.0,28.0,9.0,8.0
606,-221.0,52.0,10.0,9.0
607,-338.0,91.0,11.0,10.0
608,-885.0,173.0,13.0,12.0
609,-1524.0,378.0,16.0,15.0
610,-1913.0,536.0,18.0,20.0
611,-976.0,561.0,21.0,25.0
612,-2325.0,760.0,22.0,30.0
613,-2466.0,587.0,20.0,30.0
614,-2831.0,821.0,23.0,31.0
615,-2942.0,878.0,22.0,34.0
616,-3024.0,992.0,26.0,36.0
617,-2038.0,883.0,22.0,38.0
618,-3112.0,832.0,23.0,35.0
619,-3053.0,1092.0,25.0,37.0
620,-2872.0,1059.0,26.0,41.0
621,-3072.0,1118.0,25.0,41.0
622,-3084.0,1081.0,25.0,39.0
623,-2734.0,1006.0,26.0,40.0
624,-3040.0,961.0,27.0,37.0
625,-3035.0,1067.0,26.0,38.0
